reaction handle,ddGTS
11_1_1_30,-0.01572172282068345
14_1_1_13,-0.4235703182150113
14_1_2_14,-0.6521561528918469
154_1_2_15,-0.38944976896811023
16_3_1_9,-0.867249888620605
171_2_2_17,-0.39987747895091463
185_1_2_2,-0.32178034108038084
185_2_1_10,-0.1617331291924798
187_1_4_2,-0.7635727987735589
187_1_4_30,-0.03028385924311829
190_1_1_2,0.03378000976580338
1_1_1_1,0.11684064383200896
1_1_1_15,-1.052132191882158
1_1_1_18,-1.0703635370374014
1_1_1_20,-0.930483677449519
1_1_1_22,-0.42821598802830424
1_1_1_24,-0.5185129911332531
1_1_1_26,-0.5746962356799127
1_1_1_27,-0.8135601951555214
1_1_1_29,-0.46995855495902167
1_1_1_3,0.0011645016977672967
1_1_1_30,-0.08398942920438131
1_1_1_7,-1.1559695784239674
1_4_1_2,-0.612804610598691
200_3_1_21,-0.26105976756563487
225_1_1_13,-0.006987091703505415
225_1_1_2,0.0005822507033208242
227_2_2_2,0.45840243403495196
22_4_4_28,0.0512711617111451
249_4_4_3,0.010480794773971517
250_1_3_12,0.11213746272813199
252_1_1_8,-0.593977574974309
254_2_2_11,-1.4819410537759472
281_4_4_2,-0.1605461871534177
3_1_1_21,0.0069870917035053945
3_1_2_18,-0.22881318340305146
56_2_1_1,0.1742166868742367
5_1_1_2,-0.4011852624961312
6_1_1_1,-0.41431742526232074
6_1_1_14,-1.2430513248713382
6_1_1_21,0.010480794773971517
73_3_1_29,-0.13923539379762026
7_1_2_2,-0.6807662371302234
7_2_1_2,-0.6373410454090299
90_1_1_17,-1.0660725212932687
aa_1,0.036111111156088525
aa_18,-0.03378000976580338
