reaction handle,ee,dr
254_2_2_11_1B,85.45,10.705
6_1_1_14_1B,78.85,9.337955198
1_1_1_7_1B,75.85,8.670648064
1_1_1_18_1B,72.55,4.276620679
90_1_1_17_1B,72.375,4.145611408
1_1_1_15_1B,71.8,7.888135779
1_1_1_20_1B,66.35,3.572708269
16_3_1_9_1B,63.2,3.59
1_1_1_27_1B,60.35,5.901068516
187_1_4_2_1B,57.55,7.715
7_1_2_2_1B,52.6,2.383290126
14_1_2_14_1B,50.8,4.365
7_2_1_2_1B,49.85,1.295
1_4_1_2_1B,48.25,6.21
252_1_1_8_1B,47,4.175
1_1_1_26_1B,45.7,5.949547451
1_1_1_24_1B,41.8,7.01196592
1_1_1_29_1B,38.3,1.444025951
1_1_1_22_1B,35.2,7.066323563
14_1_1_13_1B,34.85,3.343001798
6_1_1_1_1B,34.15,2.352057997
5_1_1_2_1B,33.15,1.119432234
171_2_2_17_1B,33.05,0.21
154_1_2_15_1B,32.25,1.335
185_1_2_2_1B,26.95,1.405
200_3_1_21_1B,22.05,0.945
3_1_2_18_1B,19.4,1.5
185_2_1_10_1B,13.8,4.86
281_4_4_2_1B,13.7,2.305
73_3_1_29_1B,11.9,0.875
1_1_1_30_1B,7.2,2.040162772
aa_18_1B,2.9,0.947505441
187_1_4_30_1B,2.6,1.985
11_1_1_30_1B,1.35,2.378996165
225_1_1_13_1B,0.6,2.345
225_1_1_2_1B,-0.05,1.585
1_1_1_3_1B,-0.1,9.690773892
3_1_1_21_1B,-0.6,1.923793257
6_1_1_21_1B,-0.9,2.319923396
249_4_4_3_1B,-0.9,2.28
190_1_1_2_1B,-2.9,1.879160145
aa_1_1B,-3.1,2.318146529
22_4_4_28_1B,-4.4,0.73
250_1_3_12_1B,-9.6,1.315
1_1_1_1_1B,-10,4.647128061
56_2_1_1_1B,-14.85,3.495
227_2_2_2_1B,-37.45,3.955
